Athlete,Year,University,Time,Adjusted Time,Meet,Start Date,End Date,Time_S,apcpsfc,spfh2m,pressfc,ugrd10m,tmp2m,vgrd10m,celsius,real_days_year,adj_S,previous_time,PR,farenheit,wet_bulb,heat_index,rh2m,days_since_event
n1,SO-2,u1,13:43.7,13:43.7,m1,5/15/10,5/16/10,823,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,823,811,811,50.23399784,9.515199624,49.40389917,94.60641597,30
n2,JR-3,u1,13:45.2,13:45.2,m1,5/15/10,5/16/10,825,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,825,809,809,50.23399784,9.515199624,49.40389917,94.60641597,30
n3,JR-3,u1,13:48.7,13:48.7,m1,5/15/10,5/16/10,828,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,828,828,828,50.23399784,9.515199624,49.40389917,94.60641597,15
n4,SR-4,u2,14:00.1,14:00.1,m1,5/15/10,5/16/10,840,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,840,835,835,50.23399784,9.515199624,49.40389917,94.60641597,30
n5,SR-4,u3,14:01.7,14:01.7,m1,5/15/10,5/16/10,841,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,841,831,831,50.23399784,9.515199624,49.40389917,94.60641597,51
n6,JR-3,u1,14:10.5,14:10.5,m1,5/15/10,5/16/10,850,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,850,834,834,50.23399784,9.515199624,49.40389917,94.60641597,30
n7,JR-3,u4,14:25.3,14:25.3,m1,5/15/10,5/16/10,865,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,865,844,844,50.23399784,9.515199624,49.40389917,94.60641597,30
n8,JR-3,u3,14:26.7,14:26.7,m1,5/15/10,5/16/10,866,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,866,854,854,50.23399784,9.515199624,49.40389917,94.60641597,51
n9,SO-2,u1,14:39.9,14:39.9,m1,5/15/10,5/16/10,879,0,0.007191,101315.2813,2.890000105,283.2799988,0.159999996,10.1299988,136,879,836,836,50.23399784,9.515199624,49.40389917,94.60641597,15
n10,SO-2,u5,13:40.8,13:40.8,m2,5/1/11,5/1/11,820,0,0.0041116,101403.0938,-1.230000019,283.5599976,-3.220000029,10.4099976,121,820,837,837,50.73799568,5.746876175,48.00921647,53.13662167,0
n11,JR-3,u6,13:41.5,13:41.5,m2,5/1/11,5/1/11,821,0,0.0041116,101403.0938,-1.230000019,283.5599976,-3.220000029,10.4099976,121,821,880,880,50.73799568,5.746876175,48.00921647,53.13662167,0
n12,FR-1,u7,13:42.5,13:42.5,m2,5/1/11,5/1/11,822,0,0.0041116,101403.0938,-1.230000019,283.5599976,-3.220000029,10.4099976,121,822,836,836,50.73799568,5.746876175,48.00921647,53.13662167,16
n13,SO-2,u5,13:44.6,13:44.6,m2,5/1/11,5/1/11,824,0,0.0041116,101403.0938,-1.230000019,283.5599976,-3.220000029,10.4099976,121,824,883,831,50.73799568,5.746876175,48.00921647,53.13662167,0
n14,FR-1,u8,13:44.8,13:44.8,m2,5/1/11,5/1/11,824,0,0.0041116,101403.0938,-1.230000019,283.5599976,-3.220000029,10.4099976,121,824,844,836,50.73799568,5.746876175,48.00921647,53.13662167,8
n2,SR-4,u1,13:26.1,13:26.1,m2,5/1/11,5/1/11,806,0,0.0042946,101396.2969,-1.230000019,285.230011,-2.950000048,12.080011,121,806,863,809,53.7440198,6.857687474,51.15342199,49.68085554,0
n15,JR-3,u9,13:26.9,13:26.9,m2,5/1/11,5/1/11,806,0,0.0042946,101396.2969,-1.230000019,285.230011,-2.950000048,12.080011,121,806,859,829,53.7440198,6.857687474,51.15342199,49.68085554,0
n1,JR-3,u1,13:29.7,13:29.7,m2,5/1/11,5/1/11,809,0,0.0042946,101396.2969,-1.230000019,285.230011,-2.950000048,12.080011,121,809,829,811,53.7440198,6.857687474,51.15342199,49.68085554,0
n16,SO-2,u8,13:31.7,13:31.7,m2,5/1/11,5/1/11,811,0,0.0042946,101396.2969,-1.230000019,285.230011,-2.950000048,12.080011,121,811,833,833,53.7440198,6.857687474,51.15342199,49.68085554,0
n17,SO-2,u6,13:34.6,13:34.6,m2,5/1/11,5/1/11,814,0,0.0042946,101396.2969,-1.230000019,285.230011,-2.950000048,12.080011,121,814,845,845,53.7440198,6.857687474,51.15342199,49.68085554,16
n3,SR-4,u1,13:39.5,13:39.5,m2,5/1/11,5/1/11,819,0,0.0042946,101396.2969,-1.230000019,285.230011,-2.950000048,12.080011,121,819,835,828,53.7440198,6.857687474,51.15342199,49.68085554,0
