lagday0,lagday1,lagday2,lagday3,lagday4,lagday5,lagday6,lagday7,lagday8,lagday9,lagday10,lagday11,lagday12,lagday13,lagday14,lagday15,lagday16,lagday17,lagday18,lagday19,lagday20,lagday21,lagday22,lagday23,lagday24,lagday25,lagday26,lagday27,lagday28,lagday29,lagday30,lagday31,lagday32,lagday33,lagday34,lagday35,lagday36,lagday37,lagday38,lagday39,lagday40,lagday41,lagday42,lagday43,lagday44,lagday45,lagday46,lagday47,lagday48,lagday49,lagday50,lagday51,lagday52,lagday53,lagday54,lagday55,lagday56,lagday57,lagday58,lagday59,lagday60
39.714,36.67,32.704,32.36,29.881,35.434,40.022,39.007,37.594,35.746,43.169,42.595,38.12,29.042,46.069,33.183,35.578,38.279,42.002,37.051,41.18,47.402,35.891,40.522,36.222,37.441,42.957,41.756,49.09,38.894,38.68,39.538,39.743,40.314,42.488,46.364,45.95399999999999,39.604,38.986,35.212,38.39,44.619,40.604,40.461,35.522,40.137,43.152,47.269,36.143,45.73,45.646,35.702,39.23,40.953,38.264,34.835,35.366,37.421,44.048,33.435,33.483000000000004
39.714,36.67,32.704,32.36,29.881,35.434,40.022,39.007,37.594,35.746,43.169,42.595,38.12,29.042,46.069,33.183,35.578,38.279,42.002,37.051,41.18,47.402,35.891,40.522,36.222,37.441,42.957,41.756,49.09,38.894,38.68,39.538,39.743,40.314,42.488,46.364,45.95399999999999,39.604,38.986,35.212,38.39,44.619,40.604,40.461,35.522,40.137,43.152,47.269,36.143,45.73,45.646,35.702,39.23,40.953,38.264,34.835,35.366,37.421,44.048,33.435,33.483000000000004
39.714,36.67,32.704,32.36,29.881,35.434,40.022,39.007,37.594,35.746,43.169,42.595,38.12,29.042,46.069,33.183,35.578,38.279,42.002,37.051,41.18,47.402,35.891,40.522,36.222,37.441,42.957,41.756,49.09,38.894,38.68,39.538,39.743,40.314,42.488,46.364,45.95399999999999,39.604,38.986,35.212,38.39,44.619,40.604,40.461,35.522,40.137,43.152,47.269,36.143,45.73,45.646,35.702,39.23,40.953,38.264,34.835,35.366,37.421,44.048,33.435,33.483000000000004
39.714,35.993,60.36,61.293,54.205,58.852,66.297,54.371,45.688,49.551,54.953,47.403,59.859,57.945,56.70399999999999,45.851000000000006,51.752,56.595,57.21100000000001,59.438,59.784,60.928,54.375,45.541,47.863,43.629,42.344,47.708,54.948,60.092,50.059,52.918,49.911,49.346,48.662,45.119,48.558,50.606,53.70399999999999,60.345,59.464,49.17,50.165,52.247,54.037,49.722,55.428,56.257,53.837,50.787,51.588,52.15600000000001,54.808,49.731,40.692,46.387,46.605,50.901,54.166,53.396,49.291
39.714,35.993,49.307,43.005,37.678,30.567,30.014,35.673,41.219,33.986999999999995,32.113,35.115,37.25,40.842,40.816,36.299,36.503,37.061,42.418,42.462,35.06,45.306,43.969,42.645,41.526,40.061,41.004,36.913,37.747,36.772,41.345,42.437,37.9,39.428,41.938,39.759,40.175,40.659,40.233,42.099,41.089,41.554,41.282,42.887,42.341,40.892,39.958,41.955,41.914,41.382,37.811,41.469,36.673,43.49100000000001,35.405,38.906,40.524,46.402,41.209,38.487,36.317
39.714,36.67,32.704,32.36,29.881,35.434,40.022,39.007,37.594,35.746,43.169,42.595,38.12,29.042,46.069,33.183,35.578,38.279,42.002,37.051,41.18,47.402,35.891,40.522,36.222,37.441,42.957,41.756,49.09,38.894,38.68,39.538,39.743,40.314,42.488,46.364,45.95399999999999,39.604,38.986,35.212,38.39,44.619,40.604,40.461,35.522,40.137,43.152,47.269,36.143,45.73,45.646,35.702,39.23,40.953,38.264,34.835,35.366,37.421,44.048,33.435,33.483000000000004
39.714,35.993,62.541,58.784,48.369,61.94,61.572,64.083,49.753,62.856,47.705,59.062,63.832,58.51600000000001,55.65600000000001,43.995,46.17,55.422,48.899,62.18,57.928,60.787,56.526,46.413,47.191,49.167,45.653,51.894,60.63,60.405,51.224,59.648,61.893,52.88399999999999,44.164,47.582,48.21100000000001,58.942,60.354,57.195,54.433,45.581,54.12,56.537,53.015,51.472,48.142,53.958,51.026,49.964,50.14,48.832,51.485,47.525,44.365,45.371,51.591,50.502,50.272,52.449,49.978
39.714,35.993,49.307,43.005,37.678,30.567,30.014,35.673,41.219,33.986999999999995,32.113,35.115,37.25,40.842,40.816,36.299,36.503,37.061,42.418,42.462,35.06,45.306,43.969,42.645,41.526,40.061,41.004,36.913,37.747,36.772,41.345,42.437,37.9,39.428,41.938,39.759,40.175,40.659,40.233,42.099,41.089,41.554,41.282,42.887,42.341,40.892,39.958,41.955,41.914,41.382,37.811,41.469,36.673,43.49100000000001,35.405,38.906,40.524,46.402,41.209,38.487,36.317
39.714,36.67,32.704,32.36,29.881,35.434,40.022,39.007,37.594,35.746,43.169,42.595,38.12,29.042,46.069,33.183,35.578,38.279,42.002,37.051,41.18,47.402,35.891,40.522,36.222,37.441,42.957,41.756,49.09,38.894,38.68,39.538,39.743,40.314,42.488,46.364,45.95399999999999,39.604,38.986,35.212,38.39,44.619,40.604,40.461,35.522,40.137,43.152,47.269,36.143,45.73,45.646,35.702,39.23,40.953,38.264,34.835,35.366,37.421,44.048,33.435,33.483000000000004
50.99100000000001,58.08,77.472,54.71,41.534,44.817,27.956,27.203000000000007,48.756,55.705,31.006,46.183,45.942,64.308,77.059,56.951,48.969,60.895,80.601,62.379,49.91,51.81800000000001,47.372,50.832,50.276,59.637,52.63800000000001,45.986,40.939,60.707,51.731,45.015,35.424,28.071,26.896,24.803,26.311,63.285,50.914,47.878,43.062,38.472,36.014,42.551,41.601000000000006,40.906,46.70399999999999,45.972,40.093,37.904,59.594,60.056,48.715,43.789,29.109,41.947,46.721,39.473,41.073,76.557,55.49
