lagday0,lagday1,lagday2,lagday3,lagday4,lagday5,lagday6,lagday7,lagday8,lagday9,lagday10,lagday11,lagday12,lagday13,lagday14,lagday15,lagday16,lagday17,lagday18,lagday19,lagday20,lagday21,lagday22,lagday23,lagday24,lagday25,lagday26,lagday27,lagday28,lagday29,lagday30,lagday31,lagday32,lagday33,lagday34,lagday35,lagday36,lagday37,lagday38,lagday39,lagday40,lagday41,lagday42,lagday43,lagday44,lagday45,lagday46,lagday47,lagday48,lagday49,lagday50,lagday51,lagday52,lagday53,lagday54,lagday55,lagday56,lagday57,lagday58,lagday59,lagday60
8.94,6.829,8.56,5.8329999999999975,6.6720000000000015,3.4,4.104,4.4639999999999995,4.901,5.167999999999998,6.989,6.468999999999999,5.91,7.25,6.907,6.405,4.837,2.657,3.498,3.611,7.057,9.652999999999999,6.776,7.4689999999999985,6.415,4.758,2.9360000000000004,6.84,8.752,5.7810000000000015,6.044,10.206,6.2520000000000024,6.371,3.432,6.7589999999999995,8.238,8.149,8.56,8.512,5.974,3.005,4.567,5.471,4.252,5.8820000000000014,3.431,5.3020000000000005,4.718999999999999,5.915,6.825,3.9389999999999996,3.346,6.359,7.55,6.1979999999999995,5.6739999999999995,7.152,7.0470000000000015,8.336,10.529000000000002
8.94,6.829,8.56,5.8329999999999975,6.6720000000000015,3.4,4.104,4.4639999999999995,4.901,5.167999999999998,6.989,6.468999999999999,5.91,7.25,6.907,6.405,4.837,2.657,3.498,3.611,7.057,9.652999999999999,6.776,7.4689999999999985,6.415,4.758,2.9360000000000004,6.84,8.752,5.7810000000000015,6.044,10.206,6.2520000000000024,6.371,3.432,6.7589999999999995,8.238,8.149,8.56,8.512,5.974,3.005,4.567,5.471,4.252,5.8820000000000014,3.431,5.3020000000000005,4.718999999999999,5.915,6.825,3.9389999999999996,3.346,6.359,7.55,6.1979999999999995,5.6739999999999995,7.152,7.0470000000000015,8.336,10.529000000000002
8.94,6.829,8.56,5.8329999999999975,6.6720000000000015,3.4,4.104,4.4639999999999995,4.901,5.167999999999998,6.989,6.468999999999999,5.91,7.25,6.907,6.405,4.837,2.657,3.498,3.611,7.057,9.652999999999999,6.776,7.4689999999999985,6.415,4.758,2.9360000000000004,6.84,8.752,5.7810000000000015,6.044,10.206,6.2520000000000024,6.371,3.432,6.7589999999999995,8.238,8.149,8.56,8.512,5.974,3.005,4.567,5.471,4.252,5.8820000000000014,3.431,5.3020000000000005,4.718999999999999,5.915,6.825,3.9389999999999996,3.346,6.359,7.55,6.1979999999999995,5.6739999999999995,7.152,7.0470000000000015,8.336,10.529000000000002
8.94,10.972000000000001,5.399,6.357,6.513,5.409,6.925,5.3210000000000015,4.9639999999999995,7.801,5.83,7.27,6.5070000000000014,7.474,5.5489999999999995,5.646,5.751,4.999,6.888999999999999,8.163,6.204,8.236,5.912000000000001,2.628,5.816,6.468999999999999,6.992000000000001,6.098,5.593999999999999,6.685,8.008,8.195,6.5020000000000024,7.4689999999999985,6.426,5.577999999999999,7.73,6.8629999999999995,5.581,7.0820000000000025,5.647,6.876,6.221,6.1739999999999995,4.869,7.313,5.6979999999999995,5.18,6.487,6.8870000000000005,5.37,7.961,7.966,5.797999999999999,7.822999999999999,7.478,5.572,7.226,8.182,5.124,8.425
8.94,10.972000000000001,8.169,11.440999999999999,6.731,3.984,2.978,6.152,5.744,6.053999999999999,5.127999999999999,3.423,4.07,2.787,2.311,2.233,2.733,2.583,1.851,1.172,8.317,7.3260000000000005,5.44,6.604,6.9,4.325,2.773,6.459,5.7120000000000015,4.933,6.575,5.739,6.537999999999999,5.05,2.877,5.29,6.902,5.797999999999999,4.46,5.324,4.7139999999999995,2.396,3.431,3.537,3.52,4.83,3.4339999999999997,2.008,2.535,4.641,5.367999999999999,4.4639999999999995,1.495,6.813,8.539,5.522,2.9530000000000003,9.985,11.307,10.192,5.619
8.94,6.829,8.56,5.8329999999999975,6.6720000000000015,3.4,4.104,4.4639999999999995,4.901,5.167999999999998,6.989,6.468999999999999,5.91,7.25,6.907,6.405,4.837,2.657,3.498,3.611,7.057,9.652999999999999,6.776,7.4689999999999985,6.415,4.758,2.9360000000000004,6.84,8.752,5.7810000000000015,6.044,10.206,6.2520000000000024,6.371,3.432,6.7589999999999995,8.238,8.149,8.56,8.512,5.974,3.005,4.567,5.471,4.252,5.8820000000000014,3.431,5.3020000000000005,4.718999999999999,5.915,6.825,3.9389999999999996,3.346,6.359,7.55,6.1979999999999995,5.6739999999999995,7.152,7.0470000000000015,8.336,10.529000000000002
8.94,10.972000000000001,7.235,10.427,7.978,6.336,7.415,6.4079999999999995,8.445,11.127,8.882,7.77,10.7,11.866,7.905,6.7479999999999976,4.896,7.325,7.2360000000000015,9.969,8.613,10.193,7.45,3.7710000000000004,5.377999999999999,6.055,7.528,6.979,8.769,10.312999999999999,11.433,11.524000000000001,10.450999999999999,8.263,6.961,5.675,9.202,9.602,6.351,6.775,4.89,8.345,7.432,7.401,6.343999999999999,6.472,7.33,7.775,8.351,7.244,5.528,7.5760000000000005,9.6,7.244,8.469,9.467,8.396,7.852,9.68,6.756,9.488999999999999
8.94,10.972000000000001,8.169,11.440999999999999,6.731,3.984,2.978,6.152,5.744,6.053999999999999,5.127999999999999,3.423,4.07,2.787,2.311,2.233,2.733,2.583,1.851,1.172,8.317,7.3260000000000005,5.44,6.604,6.9,4.325,2.773,6.459,5.7120000000000015,4.933,6.575,5.739,6.537999999999999,5.05,2.877,5.29,6.902,5.797999999999999,4.46,5.324,4.7139999999999995,2.396,3.431,3.537,3.52,4.83,3.4339999999999997,2.008,2.535,4.641,5.367999999999999,4.4639999999999995,1.495,6.813,8.539,5.522,2.9530000000000003,9.985,11.307,10.192,5.619
8.94,6.829,8.56,5.8329999999999975,6.6720000000000015,3.4,4.104,4.4639999999999995,4.901,5.167999999999998,6.989,6.468999999999999,5.91,7.25,6.907,6.405,4.837,2.657,3.498,3.611,7.057,9.652999999999999,6.776,7.4689999999999985,6.415,4.758,2.9360000000000004,6.84,8.752,5.7810000000000015,6.044,10.206,6.2520000000000024,6.371,3.432,6.7589999999999995,8.238,8.149,8.56,8.512,5.974,3.005,4.567,5.471,4.252,5.8820000000000014,3.431,5.3020000000000005,4.718999999999999,5.915,6.825,3.9389999999999996,3.346,6.359,7.55,6.1979999999999995,5.6739999999999995,7.152,7.0470000000000015,8.336,10.529000000000002
7.619,5.727,6.995,5.452000000000001,5.692,4.976,6.3729999999999976,7.7170000000000005,7.841,10.649000000000001,9.782,7.9460000000000015,15.436,18.27,11.366,5.149,5.047,12.119000000000002,9.23,9.717,7.284,11.290999999999999,16.049,13.289000000000001,13.728,7.885,6.04,6.442,15.484000000000002,21.219,10.277999999999999,13.043,18.684,14.357999999999999,16.087,9.583,10.251,21.625999999999998,7.938,7.17,9.297,9.048,7.9579999999999975,9.325,10.675,9.908,12.071,7.336,7.191,17.777,12.515,9.174,5.697,7.702000000000001,8.095,13.097999999999999,9.09,9.073,20.035999999999998,24.247,11.459000000000001
7.619,1.9609999999999999,3.965,4.84,2.7489999999999997,1.966,3.036,5.292000000000002,5.103,5.263,3.383,4.8260000000000005,3.3089999999999997,4.891,3.5,5.745,9.604,4.49,6.5920000000000005,6.496,5.725,1.903,5.252000000000002,9.947000000000001,6.994,3.738,1.931,3.1510000000000002,3.1630000000000003,2.521,2.952,0.9840000000000001,2.076,2.58,4.475,3.362,5.568,4.798,5.51,2.009,1.82,7.859,7.285,7.789,10.511,4.902,3.987,3.513,4.67,3.247,5.492999999999999,6.3770000000000024,3.574,4.739,10.905,7.369,4.452,3.194,3.321,3.406,8.912
7.619,4.651,6.89,4.806,3.082,6.3610000000000015,5.829,3.74,10.927999999999999,8.43,3.8339999999999996,9.369,11.755,4.761,8.187999999999999,7.6389999999999985,5.229,4.313,6.886,8.089,7.524,8.253,6.6129999999999995,11.481,8.734,3.9810000000000003,4.581,5.9670000000000005,7.747000000000001,4.289,5.558,2.35,2.3280000000000003,3.2960000000000003,3.373,2.4130000000000003,3.215,5.0889999999999995,5.932,9.972999999999999,6.169,5.67,6.541,5.334,4.721,6.2079999999999975,2.7030000000000003,3.497,5.275,2.76,5.695,7.1129999999999995,3.245,4.73,5.292999999999998,12.468,11.755,7.162000000000001,9.561,7.9570000000000025,6.017
7.619,5.727,6.995,5.452000000000001,5.692,4.976,6.3729999999999976,7.7170000000000005,7.841,10.649000000000001,9.782,7.9460000000000015,15.436,18.27,11.366,5.149,5.047,12.119000000000002,9.23,9.717,7.284,11.290999999999999,16.049,13.289000000000001,13.728,7.885,6.04,6.442,15.484000000000002,21.219,10.277999999999999,13.043,18.684,14.357999999999999,16.087,9.583,10.251,21.625999999999998,7.938,7.17,9.297,9.048,7.9579999999999975,9.325,10.675,9.908,12.071,7.336,7.191,17.777,12.515,9.174,5.697,7.702000000000001,8.095,13.097999999999999,9.09,9.073,20.035999999999998,24.247,11.459000000000001
7.619,7.926,7.32,6.676,4.955,4.468999999999999,8.232999999999999,11.035,7.022,7.608,9.014,10.679,11.398,8.856,5.5420000000000025,6.54,7.41,11.136,4.967,7.6610000000000005,10.626,7.7029999999999985,8.674,15.048,10.192,6.537999999999999,4.178,8.079,5.711,8.112,8.365,5.079,8.758,12.068,10.626,7.5470000000000015,10.635,7.865,5.227,16.733,11.494000000000002,9.592,6.928999999999999,8.557,13.311,8.654,8.164,9.019,9.327,12.294,8.414,6.436,3.068,6.7360000000000015,6.556,4.293,3.214,6.252999999999999,6.441,6.876,9.343
7.619,4.274,4.731,4.942,5.5470000000000015,5.749,5.287999999999999,2.2969999999999997,6.6370000000000005,6.705,4.803,6.4079999999999995,7.8,4.755,5.921,7.928,5.9079999999999995,7.956,5.7360000000000015,4.782,7.3279999999999985,7.9220000000000015,6.568,7.192,4.913,9.47,6.62,8.75,5.8370000000000015,5.141,11.234000000000002,8.75,7.084,5.003,3.872,4.1,3.8,5.072,3.5589999999999997,3.1260000000000003,4.008,4.163,2.526,2.11,5.119,7.319,6.1,3.36,4.207,4.2780000000000005,4.83,5.278,5.6110000000000015,7.504,4.041,3.74,3.989,6.226,5.766,4.1110000000000015,3.0980000000000003
7.619,4.24,5.4879999999999995,5.8820000000000014,7.725,5.5,7.46,5.6229999999999976,5.322,7.834,4.077,6.4170000000000025,7.718,5.452999999999999,4.435,6.176,10.932,8.89,5.5020000000000024,4.541,6.4570000000000025,5.343999999999999,2.0869999999999997,8.015,5.242000000000001,3.2539999999999996,3.036,5.555,3.628,3.2039999999999997,4.772,3.4619999999999997,4.958,4.829,3.6839999999999997,3.115,4.721,6.194,5.655,4.128,2.907,7.108,7.602,10.102,7.331,5.837999999999999,3.853,5.65,6.445,5.422999999999999,5.159,4.899,5.374,5.245,4.537,5.348,4.2139999999999995,5.6370000000000005,4.0889999999999995,3.523,6.947
7.619,4.274,4.731,4.942,5.5470000000000015,5.749,5.287999999999999,2.2969999999999997,6.6370000000000005,6.705,4.803,6.4079999999999995,7.8,4.755,5.921,7.928,5.9079999999999995,7.956,5.7360000000000015,4.782,7.3279999999999985,7.9220000000000015,6.568,7.192,4.913,9.47,6.62,8.75,5.8370000000000015,5.141,11.234000000000002,8.75,7.084,5.003,3.872,4.1,3.8,5.072,3.5589999999999997,3.1260000000000003,4.008,4.163,2.526,2.11,5.119,7.319,6.1,3.36,4.207,4.2780000000000005,4.83,5.278,5.6110000000000015,7.504,4.041,3.74,3.989,6.226,5.766,4.1110000000000015,3.0980000000000003
